BP Team Name,BP Account Name,P2P Endpoint,API Endpoint,
AtticLab,atticlabtlbp,195.201.82.181:9876,http://telos.atticlab.net:8888,p2p-peer-address = 195.201.82.181:9876
Awake,telawakeiobp,47.52.71.18:9876,https://telosapi.eosawake.io:443,p2p-peer-address = 47.52.71.18:9876
Beyond Bitcoin,beyondbtctls,207.180.220.203:9876,http://207.180.220.203:8888,p2p-peer-address = 207.180.220.203:9876
BigIronBP,bigironbptex,149.28.254.141:9876,http://149.28.254.141:8888,p2p-peer-address = 149.28.254.141:9876
BLCKCHND,blockchained,p2p-telos.blckchnd.com:19876,https://api-telos.blckchnd.com:443,p2p-peer-address = p2p-telos.blckchnd.com:19876
BlindBlocArt,blindblocart,p2p.blindblocart.io:9877,https://api.blindblocart.io,p2p-peer-address = p2p.blindblocart.io:9877
CalEOS,caleosblocks,telos.caleos.io:9880,https://telos.caleos.io,p2p-peer-address = telos.caleos.io:9880
CRYPTOSUVI,cryptosuviio,p2p.telos.cryptosuvi.io:2222,https://telos.cryptosuvi.io:443,p2p-peer-address = p2p.telos.cryptosuvi.io:2222
CSX Community,csxcommunity,p2p.telos.csx.io:9876,api.telos.csx.io:8787,p2p-peer-address = p2p.telos.csx.io:9876
DutchEOS,votedutcheos,p2p.telos.dutcheos.io:9876,https://api.telos.dutcheos.io,p2p-peer-address = p2p.telos.dutcheos.io:9876
Eclipse24,teleclipse24,p2p.telos.eclipse24.io:9876,https://api.telos.eclipse24.io:8000,p2p-peer-address = p2p.telos.eclipse24.io:9876
eos Barcelona,eosbarcelona,telosp2p.eos.barcelona:9876,https://telos.eos.barcelona,p2p-peer-address = telosp2p.eos.barcelona:9876
EOS Detroit,eosiodetroit,p2p.telos.eosdetroit.io:1337,https://telos.eosdetroit.io,p2p-peer-address = p2p.telos.eosdetroit.io:1337
EOS IMPERA,tlosimperabp,api.eosimpera:9876,https://api.eosimpera:443,p2p-peer-address = api.eosimpera:9876
EOS Nairobi,telosafrique,telosafrique.eosnairobi.io:9476,http://telosafrique.eosnairobi.io:9948,p2p-peer-address = telosafrique.eosnairobi.io:9476
EOS SanDiego,eossandiego1,p2p.eossandiego.io:9876,https://api.eossandiego.io,p2p-peer-address = p2p.eossandiego.io:9876
EOS South Africa,southafrica1,p2p.telos.africa:9876,https://api.telos.africa:4443,p2p-peer-address = p2p.telos.africa:9876
EOSindex,bpeosindexio,seed1.telos.eosindex.io:9876,https://api.telos.eosindex.io,p2p-peer-address = seed1.telos.eosindex.io:9876
EOSMetal,eosmetaliobp,94.130.135.208:29876,https://telosapi.eosmetal.io,p2p-peer-address = 94.130.135.208:29876
EosOU,eosouwallet1,telos.eosou.io:9876,http://api.eosou.io:8888,p2p-peer-address = telos.eosou.io:9876
EOSphere,eosphereiobp,telos.eosphere.io:9876,https://telos.eosphere.io,p2p-peer-address = telos.eosphere.io:9876
EOSVenezuela,eosvenezuela,149.28.110.250:9876,http://149.28.110.250:8888,p2p-peer-address = 149.28.110.250:9876
EOSVibes,eosvibesbloc,telos.eosvibes.io:9876,https://telos.eosvibes.io:443,p2p-peer-address = telos.eosvibes.io:9876
GoodBlock,goodblocktls,chia.seed.tlos.goodblock.io:9876,https://api.tlos.goodblock.io/,p2p-peer-address = chia.seed.tlos.goodblock.io:9876
GoodBlock,goodblocktls,flax.seed.tlos.goodblock.io:9876,https://api.tlos.goodblock.io/,p2p-peer-address = flax.seed.tlos.goodblock.io:9876
InfinityBloc,infinitybloc,seed-telos.infinitybloc.io:9877,https://api-telos.infinitybloc.io,p2p-peer-address = seed-telos.infinitybloc.io:9877
